event_type,t_start,t_end,metric,value,severity,scale
anomaly,121,170,C(t),5.924193,medium,
anomaly,122,171,C(t),5.526391,medium,
anomaly,123,172,C(t),5.117826,medium,
anomaly,124,173,C(t),4.718738,medium,
anomaly,125,172,C(t),4.342030,medium,
anomaly,235,284,C(t),8.455030,high,
anomaly,236,285,C(t),8.056115,medium,
anomaly,237,286,C(t),7.622941,medium,
anomaly,238,287,C(t),7.176803,medium,
anomaly,239,288,C(t),6.735118,medium,
anomaly,240,289,C(t),6.310452,medium,
anomaly,305,354,C(t),7.909982,medium,
anomaly,431,480,C(t),10.840485,high,
anomaly,432,481,C(t),10.346577,high,
anomaly,433,482,C(t),9.732269,high,
anomaly,434,483,C(t),9.042792,high,
anomaly,435,484,C(t),8.324456,medium,
anomaly,436,485,C(t),7.615577,medium,
anomaly,437,485,C(t),6.942703,medium,
anomaly,438,483,C(t),6.321045,medium,
anomaly,439,482,C(t),5.757065,medium,
anomaly,440,480,C(t),5.251361,medium,
anomaly,441,478,C(t),4.801085,medium,
anomaly,442,476,C(t),4.401644,medium,
phase_cycle,5,23,S(t),18,medium,
phase_cycle,6,18,S(t),12,medium,
phase_cycle,6,24,S(t),18,medium,
phase_cycle,7,15,S(t),8,low,
phase_cycle,7,21,S(t),14,medium,
phase_cycle,8,14,S(t),6,low,
phase_cycle,8,20,S(t),12,medium,
phase_cycle,9,18,S(t),9,low,
phase_cycle,10,17,S(t),7,low,
phase_cycle,11,16,S(t),5,low,
phase_cycle,71,78,S(t),7,low,
phase_cycle,72,82,S(t),10,medium,
phase_cycle,82,114,S(t),32,medium,
phase_cycle,83,115,S(t),32,medium,
phase_cycle,84,97,S(t),13,medium,
phase_cycle,84,94,S(t),10,medium,
phase_cycle,85,97,S(t),12,medium,
phase_cycle,85,92,S(t),7,low,
phase_cycle,86,97,S(t),11,medium,
phase_cycle,87,96,S(t),9,low,
phase_cycle,88,97,S(t),9,low,
phase_cycle,89,97,S(t),8,low,
phase_cycle,90,97,S(t),7,low,
phase_cycle,91,96,S(t),5,low,
phase_cycle,168,177,S(t),9,low,
phase_cycle,169,183,S(t),14,medium,
phase_cycle,170,186,S(t),16,medium,
phase_cycle,171,190,S(t),19,medium,
phase_cycle,172,192,S(t),20,medium,
phase_cycle,173,194,S(t),21,medium,
phase_cycle,174,196,S(t),22,medium,
phase_cycle,175,198,S(t),23,medium,
phase_cycle,176,200,S(t),24,medium,
phase_cycle,177,201,S(t),24,medium,
phase_cycle,178,187,S(t),9,low,
phase_cycle,178,185,S(t),7,low,
phase_cycle,179,186,S(t),7,low,
phase_cycle,242,248,S(t),6,low,
phase_cycle,243,250,S(t),7,low,
phase_cycle,244,256,S(t),12,medium,
phase_cycle,245,260,S(t),15,medium,
phase_cycle,246,263,S(t),17,medium,
phase_cycle,247,266,S(t),19,medium,
phase_cycle,248,269,S(t),21,medium,
phase_cycle,249,272,S(t),23,medium,
phase_cycle,250,273,S(t),23,medium,
phase_cycle,251,275,S(t),24,medium,
phase_cycle,252,276,S(t),24,medium,
phase_cycle,253,278,S(t),25,medium,
phase_cycle,254,265,S(t),11,medium,
phase_cycle,254,263,S(t),9,low,
phase_cycle,255,263,S(t),8,low,
phase_cycle,255,260,S(t),5,low,
phase_cycle,256,261,S(t),5,low,
phase_cycle,315,321,S(t),6,low,
phase_cycle,316,324,S(t),8,low,
phase_cycle,317,327,S(t),10,medium,
phase_cycle,318,330,S(t),12,medium,
phase_cycle,330,342,S(t),12,medium,
phase_cycle,331,339,S(t),8,low,
phase_cycle,331,348,S(t),17,medium,
phase_cycle,332,338,S(t),6,low,
phase_cycle,332,345,S(t),13,medium,
phase_cycle,333,343,S(t),10,medium,
phase_cycle,334,342,S(t),8,low,
phase_cycle,335,342,S(t),7,low,
phase_cycle,407,436,S(t),29,medium,
phase_cycle,408,438,S(t),30,medium,
phase_cycle,409,438,S(t),29,medium,
phase_cycle,410,441,S(t),31,medium,
phase_cycle,411,441,S(t),30,medium,
phase_cycle,412,443,S(t),31,medium,
phase_cycle,413,427,S(t),14,medium,
phase_cycle,413,424,S(t),11,medium,
phase_cycle,414,425,S(t),11,medium,
phase_cycle,414,421,S(t),7,low,
phase_cycle,415,424,S(t),9,low,
phase_cycle,415,420,S(t),5,low,
phase_cycle,416,423,S(t),7,low,
phase_cycle,417,423,S(t),6,low,
phase_cycle,418,423,S(t),5,low,
fractal_pattern,100,200,S(t),0.651893,medium,10/100
fractal_pattern,300,400,S(t),0.654101,medium,10/100
fractal_pattern,150,250,C(t),0.821659,medium,10/100
fractal_pattern,200,300,C(t),0.898706,medium,10/100
fractal_pattern,250,350,C(t),0.647246,medium,10/100
fractal_pattern,300,400,C(t),0.851022,medium,10/100
